state,ym,price,cpi,vmt,fatal,spdfatal,duifatal,urate,pcinc,etohpc,beertax,gdlyear
AL,540,2.172,190.7,2.16052,28,22,111,5.084,42069.8,2.225,0.8492,2005
AL,541,2.1518,191.098,2.24017,28,9,177,4.988,41724.0,2.0912,0.8492,2005
AL,542,2.2307,191.497,2.24341,34,9,66,5.385,42203.9,2.2645,0.8492,2005
AL,543,2.3741,191.897,2.34113,37,23,65,5.553,41758.0,2.2216,0.8492,2005
AL,544,2.382,192.298,2.44321,34,15,112,5.742,42247.9,2.0882,0.8492,2005
AL,545,2.3859,192.7,2.55344,40,43,66,5.076,42122.9,2.1949,0.8492,2005
AL,546,2.4358,193.102,2.63326,37,9,94,5.235,42958.8,2.2511,0.8492,2005
AL,547,2.3524,193.506,2.54693,41,14,126,4.651,41877.6,2.4591,0.8492,2005
AL,548,2.3332,193.91,2.50829,30,41,551,5.209,42441.4,2.4,0.8492,2005
AL,549,2.323,194.315,2.33752,27,16,115,4.829,42822.0,2.4809,0.8492,2005
AL,550,2.1532,194.721,2.3269,42,11,172,5.048,42476.4,2.409,0.8492,2005
AL,551,2.1559,195.128,2.31871,40,9,314,4.736,43090.2,2.4259,0.8492,2005
AL,552,2.3878,195.535,2.3345,45,15,92,4.596,43309.2,2.3502,0.8492,2005
AL,553,2.4536,195.944,2.26433,32,6,263,5.56,42448.3,2.1254,0.8492,2005
AL,554,2.5859,196.353,2.28641,39,7,374,4.788,42409.3,2.1221,0.8492,2005
AL,555,2.523,196.763,2.39019,31,19,60,4.994,42447.2,2.2145,0.8492,2005
AL,556,2.6129,197.174,2.44709,29,13,33,4.96,43478.2,2.183,0.8492,2005
AL,557,2.6765,197.586,2.47795,34,16,123,5.576,43094.6,2.2677,0.8492,2005
AL,558,2.6523,197.999,2.54299,49,32,231,4.794,42523.0,2.2721,0.8492,2005
AL,559,2.6251,198.412,2.41989,41,8,372,4.468,43507.3,2.3765,0.8492,2005
AL,560,2.6624,198.827,2.44557,32,22,171,4.331,43950.3,2.4183,0.8492,2005
AL,561,2.5951,199.242,2.3438,56,49,224,4.806,43155.3,2.3626,0.8492,2005
AL,562,2.5064,199.658,2.24932,32,22,72,4.995,44716.1,2.3796,0.8492,2005
AL,563,2.5087,200.075,2.2586,44,10,88,4.429,43424.5,2.3367,0.8492,2005
AL,564,2.671,200.493,2.20758,34,30,77,4.771,44478.1,2.3577,0.8492,2005
AL,565,2.7619,200.912,2.30124,33,13,22,5.636,44208.7,2.1698,0.8492,2005
AL,566,2.7623,201.331,2.29475,35,9,153,5.115,44662.4,2.0618,0.8492,2005
AL,567,2.8505,201.752,2.37579,34,3,57,5.223,44221.8,2.1853,0.8492,2005
AL,568,2.8385,202.173,2.41714,36,11,143,5.19,43764.9,2.2438,0.8492,2005
AL,569,2.8745,202.596,2.57213,29,4,119,4.46,43675.1,2.2344,0.8492,2005
AL,570,2.8886,203.019,2.51168,63,23,63,5.05,44478.0,2.4154,0.8492,2005
AL,571,2.8615,203.443,2.48791,39,36,145,5.06,44385.7,2.3211,0.8492,2005
AL,572,2.813,203.868,2.39668,38,15,28,4.515,43685.7,2.5391,0.8492,2005
AL,573,2.7087,204.294,2.41638,43,20,132,4.27,44232.7,2.4909,0.8492,2005
AL,574,2.638,204.72,2.31532,47,21,163,4.511,44505.8,2.4874,0.8492,2005
AL,575,2.6636,205.148,2.28658,46,10,395,4.812,44326.8,2.3887,0.8492,2005
AL,576,3.0922,205.576,2.17845,33,23,232,7.601,42787.6,2.5377,0.8492,2005
AL,577,3.0968,206.006,2.09294,45,14,50,8.469,43507.4,2.4089,0.8492,2005
AL,578,3.2085,206.436,2.2178,29,18,81,8.234,43398.5,2.3064,0.8492,2005
AL,579,3.2558,206.867,2.31328,29,14,200,8.181,43431.5,2.3848,0.8492,2005
AL,580,3.244,207.299,2.31065,32,20,73,7.583,43536.6,2.5015,0.8492,2005
AL,581,4.0005,207.732,2.36293,33,28,79,8.341,43562.4,2.4644,0.8492,2005
AL,582,4.0223,208.166,2.41518,39,13,75,7.626,43644.6,2.5178,0.8492,2005
AL,583,3.3605,208.601,2.44186,44,14,266,7.606,44818.8,2.5563,0.8492,2005
